,Title,Views,Likes,Comments,Favorites,Publish_date,Hour,Day of Week,Month,Year
265,How I Changed Careers to Become a Data Analyst | Alex The Analyst Show | Episode 2,415636,12164,3823,0,2020-09-10,13,Thu,Sep,2020
266,Top 5 Reasons Data Analytics is a Good Career Choice,44316,1319,74,0,2020-09-08,14,Tue,Sep,2020
267,The Hiring Process from an Interviewer's Perspective | Alex The Analyst Show | Episode 1,20594,688,83,0,2020-09-03,15,Thu,Sep,2020
268,Top 5 Reasons Not to Lie on Your Resume,11956,204,121,0,2020-09-01,12,Tue,Sep,2020
269,Live Data Analyst Q&A #3,2917,99,43,0,2020-08-29,14,Sat,Aug,2020
270,Data Analyst Career Path | How to Become a Data Analyst + What to Do Next,130349,4658,273,0,2020-08-20,13,Thu,Aug,2020
271,Top 5 Reasons Not to Become a Data Analyst,921705,19773,1053,0,2020-08-12,14,Wed,Aug,2020
272,Data Analyst Bootcamps | Are They Worth It?,34023,576,94,0,2020-08-05,13,Wed,Aug,2020
273,What Does a Data Analyst Actually Do?,919482,18106,475,0,2020-07-29,13,Wed,Jul,2020
274,Data Analyst Question and Answer | Answering Your YouTube Questions,4468,172,67,0,2020-07-22,14,Wed,Jul,2020
275,Scraping Data Off Twitter Using Python | Twitterscraper + NLP + Data Visualization,54125,1378,158,0,2020-07-15,14,Wed,Jul,2020
276,Data Analyst vs Business Analyst | Which Is Right For You?,750616,19153,581,0,2020-07-03,14,Fri,Jul,2020
277,Best Free Online Courses for Data Analysts,56874,2750,95,0,2020-06-23,13,Tue,Jun,2020
278,Best Online Courses for Data Analysts,182191,9387,421,0,2020-06-17,14,Wed,Jun,2020
279,Data Scientist vs Data Analyst | Which Is Right For You?,776338,24097,861,0,2020-06-10,15,Wed,Jun,2020
280,Intermediate SQL Tutorial | Aliasing,144675,3918,100,0,2020-06-04,14,Thu,Jun,2020
281,Data Analyst Q&A LIVE,10431,257,54,0,2020-05-31,13,Sun,May,2020
282,Data Analyst Interviews | Salary Negotiation,25860,822,27,0,2020-05-27,15,Wed,May,2020
283,Data Analyst Interview Questions | What To Say vs What NOT To Say,72034,1741,35,0,2020-05-20,14,Wed,May,2020
284,SQL Interview Questions and Answers for Beginners | Data Analyst Interview Questions,122606,3209,111,0,2020-05-13,15,Wed,May,2020
285,Data Analyst Interview Questions | Phone + In-Person Interview Questions,79713,1615,62,0,2020-05-06,15,Wed,May,2020
286,Day in the Life of a Data Analyst | Fortune 500 Edition (During Quarantine),15168,520,52,0,2020-04-23,13,Thu,Apr,2020
287,Intermediate SQL Tutorial | Updating/Deleting Data,149346,3397,140,0,2020-04-16,12,Thu,Apr,2020
288,Intermediate SQL Tutorial | Having Clause,175144,4597,83,0,2020-04-09,16,Thu,Apr,2020
289,Intermediate SQL Tutorial | Case Statement | Use Cases,285766,7030,429,0,2020-04-02,15,Thu,Apr,2020
290,Intermediate SQL Tutorial | Unions | Union Operator,253082,4972,164,0,2020-03-26,16,Thu,Mar,2020
291,Intermediate SQL Tutorial | Inner/Outer Joins | Use Cases,513042,8832,470,0,2020-03-19,15,Thu,Mar,2020
292,Day in the Life of a Data Analyst | Fortune 500 Edition,125392,2577,266,0,2020-03-11,13,Wed,Mar,2020
293,SQL Basics Tutorial For Beginners | Group By + Order By Statements | 4/4,325828,8084,234,0,2020-03-03,15,Tue,Mar,2020
294,SQL Basics Tutorial For Beginners | Where Statement | 3/4,343842,6031,156,0,2020-03-02,16,Mon,Mar,2020
295,SQL Basics Tutorial For Beginners | Select + From Statements | 2/4,500440,7289,302,0,2020-03-01,17,Sun,Mar,2020
296,SQL Basics Tutorial For Beginners | Installing SQL Server Management Studio and Create Tables | 1/4,1384249,18027,2042,0,2020-03-01,00,Sun,Mar,2020
297,Data Analyst Fact Check |  84k Average Starting Salary?? | The Career Force 2020 Data Analyst Salary,25843,849,162,0,2020-02-26,15,Wed,Feb,2020
298,Data Analyst Resume | Reviewing YOUR Data Analyst Resumes!,25424,542,39,0,2020-02-24,16,Mon,Feb,2020
299,Data Analyst Salary in 2020,8147,157,25,0,2020-02-19,15,Wed,Feb,2020
300,Working With a Recruiter to Land Your First Job as a Data Analyst | LinkedIn Recruiters,14229,613,39,0,2020-02-14,18,Fri,Feb,2020
301,Switching Careers to Become a Data Analyst | How I Made the Switch,49093,1787,249,0,2020-02-11,15,Tue,Feb,2020
302,Data Analyst Resume | Complete Guide To Creating A Data Analyst Resume | Tips + Templates + Examples,120024,3509,104,0,2020-02-06,16,Thu,Feb,2020
303,Data Analyst Resume | Reviewing My Resume! | Fortune 500 Data Analyst,72462,1678,64,0,2020-01-30,14,Thu,Jan,2020
304,Working at a Big Company Vs Small Company | Told by a Fortune 500 Data Analyst,15205,412,22,0,2020-01-25,16,Sat,Jan,2020
305,Data Analyst Salary | 100k with No Experience,64507,2194,229,0,2020-01-23,03,Thu,Jan,2020
306,Truth About Big Companies | Told by a Fortune 500 Data Analyst,8929,328,19,0,2020-01-21,03,Tue,Jan,2020
307,Top 3 Data Analyst Skills in 2020,29020,1403,140,0,2020-01-17,14,Fri,Jan,2020
