,Title,Views,Likes,Comments,Favorites,Publish_date,Hour,Day of Week,Month,Year
77,#wife #careerchange #dataanalysis,19432,1841,50,0,2023-08-11,13,Fri,Aug,2023
78,LINK: https://www.youtube.com/playlist?list=PLUaB-1hjhk8FE_XZ87vPPSfHqb6OcM0cF,6653,717,44,0,2023-08-09,13,Wed,Aug,2023
79,Regular Expression Character Classes in Python,8845,161,13,0,2023-08-08,12,Tue,Aug,2023
80,#Recruiters #dataanalysis #data,15613,1078,24,0,2023-08-03,11,Thu,Aug,2023
81,Regular Expression Metacharacters in Python,6777,173,8,0,2023-08-01,12,Tue,Aug,2023
82,How much do Data Analysts make? #dataanalyst #dataanalystsalary,18922,753,41,0,2023-07-31,13,Mon,Jul,2023
83,Do you need to learn SQL if you can do everything in Python?  #Python #dataanalysis #SQL,44732,2718,40,0,2023-07-28,12,Fri,Jul,2023
84,Regular Expression Methods in Python,9871,251,13,0,2023-07-25,12,Tue,Jul,2023
85,What are Hiring Managers Looking For? | Nail the Interview Process!,26537,1104,66,0,2023-07-18,12,Tue,Jul,2023
86,Scraping Data from a Real Website | Web Scraping in Python,355281,6602,274,0,2023-07-11,12,Tue,Jul,2023
87,SQL Beginner to Advanced in One Hour | CareerFoundry Webinar,203232,6135,108,0,2023-07-06,17,Thu,Jul,2023
88,Find and Find_All | Web Scraping in Python,47346,1315,27,0,2023-07-04,12,Tue,Jul,2023
89,500k Livestream!!,6250,385,24,0,2023-06-28,17,Wed,Jun,2023
90,BeautifulSoup + Requests | Web Scraping in Python,101443,1996,49,0,2023-06-27,12,Tue,Jun,2023
91,Inspecting Web Pages with HTML | Web Scraping in Python,50761,1339,34,0,2023-06-20,12,Tue,Jun,2023
92,Best Places to Find Datasets for Your Projects,100259,2920,65,0,2023-06-13,12,Tue,Jun,2023
93,Exploratory Data Analysis in Pandas | Python Pandas Tutorials,109954,2693,165,0,2023-06-06,12,Tue,Jun,2023
94,Data Analyst Q/A Livestream | May Livestream | Ask Me Anything!,10210,366,21,0,2023-05-30,16,Tue,May,2023
95,What is Microsoft Fabric? | New Data Analytics Platform!,200428,4388,136,0,2023-05-29,12,Mon,May,2023
96,Data Cleaning in Pandas | Python Pandas Tutorials,251775,6528,336,0,2023-05-23,12,Tue,May,2023
97,The Ultimate Data Analytics Career Plan for 2023 | CareerFoundry Webinar,58218,1888,54,0,2023-05-16,16,Tue,May,2023
98,State of AI in Analytics | Will AI be the End of Data Analysts?,45450,1368,377,0,2023-05-15,12,Mon,May,2023
99,Google Bard Got An Upgrade! + Google's New AI Announcements!,33313,806,80,0,2023-05-12,12,Fri,May,2023
100,Creating Visualizations using Pandas Library | Python Pandas Tutorials,52811,1232,32,0,2023-05-09,11,Tue,May,2023
101,Merging DataFrames in Pandas | Python Pandas Tutorials,79699,1843,51,0,2023-05-02,12,Tue,May,2023
102,Data Analyst Q/A Livestream | April Livestream | Ask Me Anything!,10272,341,27,0,2023-04-27,16,Thu,Apr,2023
103,How to Integrate ChatGPT in Jupyter Notebooks for Free!,52458,1133,54,0,2023-04-25,11,Tue,Apr,2023
104,7 Ways to Use ChatGPT for Analytics | Webinar,38787,1076,34,0,2023-04-18,16,Tue,Apr,2023
105,Google Business Intelligence Professional Certification Review,40372,1147,70,0,2023-04-18,11,Tue,Apr,2023
106,Google Advanced Data Analytics Professional Certificate First Look | Is it Worth it?,143619,4125,380,0,2023-04-10,11,Mon,Apr,2023
107,Group By and Aggregate Functions in Pandas | Python Pandas Tutorials,63637,1664,93,0,2023-04-04,11,Tue,Apr,2023
108,Top 5 Biggest Mistakes Beginner Data Analysts Make,38694,1773,82,0,2023-03-28,11,Tue,Mar,2023
109,Indexes in Pandas | Python Pandas Tutorials,42232,1040,35,0,2023-03-21,11,Tue,Mar,2023
110,Create the Perfect Data Analyst Resume | Free Templates!,162667,4835,219,0,2023-03-14,11,Tue,Mar,2023
111,Filtering Columns and Rows in Pandas | Python Pandas Tutorials,67166,1501,50,0,2023-03-07,12,Tue,Mar,2023
112,Data Analyst Q/A Livestream | March Livestream | Ask Me Anything!,11162,398,33,0,2023-03-02,16,Thu,Mar,2023
113,Reading in Files in Pandas | Python Pandas Tutorials,133405,2349,74,0,2023-02-28,12,Tue,Feb,2023
114,Building an Automated File Sorter in File Explorer using Python | Python Projects for Beginners,50540,1168,76,0,2023-02-21,12,Tue,Feb,2023
115,ChatGPT for Data Analysts | Best Use Cases + Analyzing a Dataset,441710,8307,224,0,2023-02-14,12,Tue,Feb,2023
116,FREE Data Analyst Bootcamp!!,1151521,33947,1402,0,2023-02-07,12,Tue,Feb,2023
117,How to Become a Data Analyst in 2023 (Completely FREE!),1056589,36536,1054,0,2023-01-31,12,Tue,Jan,2023
118,Live Portfolio Review with Alex the Analyst!  | Live Webinar,17525,631,23,0,2023-01-25,17,Wed,Jan,2023
119,DIY Data Analyst Curriculum using Udemy (Under $75),37544,1389,117,0,2023-01-24,12,Tue,Jan,2023
120,Reviewing Maven Analytics Free Portfolio Website,23495,734,45,0,2023-01-17,12,Tue,Jan,2023
121,5 Study Hacks for Beginner Data Analysts! | Live Webinar,46105,1361,36,0,2023-01-16,17,Mon,Jan,2023
122,DIY Data Analyst Curriculum using Coursera in 2023,61455,2920,221,0,2023-01-10,12,Tue,Jan,2023
123,Building a BMI Calculator with Python | Python Projects for Beginners,64027,1377,71,0,2023-01-03,12,Tue,Jan,2023
124,"Reading, Writing, and Appending Files in Python | Python for Beginners",7076,233,12,0,2022-12-27,13,Tue,Dec,2022
125,Why I Quit my 125k Analytics Job,156700,8702,862,0,2022-12-20,12,Tue,Dec,2022
126,Data Analyst Q/A Livestream + Special Guest! | December Livestream,5055,168,16,0,2022-12-17,14,Sat,Dec,2022
127,Converting Data Types in Python | Python for Beginners,35342,1008,28,0,2022-12-13,12,Tue,Dec,2022
128,Functions in Python | Python for Beginners,45490,1216,29,0,2022-12-06,12,Tue,Dec,2022
129,While Loops in Python | Python for Beginners,44843,1259,23,0,2022-11-29,12,Tue,Nov,2022
130,For Loops in Python | Python for Beginners,45492,1117,23,0,2022-11-22,12,Tue,Nov,2022
131,Data Analyst Q/A Livestream | November Livestream,6264,201,18,0,2022-11-16,02,Wed,Nov,2022
132,If Else Statements in Python | Python for Beginners,39309,1099,25,0,2022-11-15,12,Tue,Nov,2022
133,"Comparison, Logical, and Membership Operators in Python | Python for Beginners",41829,1151,21,0,2022-11-08,12,Tue,Nov,2022
134,Data Types in Python | Python for Beginners,89719,2195,63,0,2022-11-01,11,Tue,Nov,2022
135,Data Analyst Q/A Livestream | October Livestream,5692,183,11,0,2022-10-31,01,Mon,Oct,2022
136,Variables in Python | Python for Beginners,89437,2048,59,0,2022-10-25,11,Tue,Oct,2022
137,300k Livestream! | Giveaways for People in Chat | Bring Your Wine,5258,244,23,0,2022-10-19,10,Wed,Oct,2022
138,Installing Jupyter Notebooks/Anaconda | Python for Beginners,292403,4646,131,0,2022-10-18,11,Tue,Oct,2022
139,Interviewing Tina Huang | Fellow YouTuber and Data Enthusiast,9460,335,21,0,2022-10-13,11,Thu,Oct,2022
140,Interviewing Luke Barousse | Arch-Nemesis and Fellow YouTuber,7302,326,31,0,2022-10-11,11,Tue,Oct,2022
141,When Best Friends Work Together (ft. Luke Barousse),15488,680,85,0,2022-10-04,10,Tue,Oct,2022
142,Data Analyst Live Stream | Riding out Hurricane Ian,6714,212,14,0,2022-10-01,01,Sat,Oct,2022
143,Full Power BI Guided Project | Microsoft Power BI for Beginners,362423,6918,402,0,2022-09-27,10,Tue,Sep,2022
144,Popular Visualizations in Power BI | Microsoft Power BI for Beginners,86650,2109,55,0,2022-09-20,10,Tue,Sep,2022
145,"Guided Portfolio Projects on Coursera | Python, SQL, Excel, Power BI, and Tableau",55736,2089,95,0,2022-09-13,10,Tue,Sep,2022
146,How to use Bins and Lists in Power BI | Microsoft Power BI for Beginners,80548,1866,43,0,2022-09-06,10,Tue,Sep,2022
147,How to use Conditional Formatting in Power BI | Microsoft Power BI for Beginners,127264,2128,48,0,2022-08-30,10,Tue,Aug,2022
148,Top 8 Mistakes Beginner Data Analyst's Make | CareerFoundry Webinar,76692,2065,76,0,2022-08-24,16,Wed,Aug,2022
149,Interviewing Ken Jee | The Face of Data Science on YouTube,7114,252,15,0,2022-08-23,10,Tue,Aug,2022
150,CareerFoundry Data Analytics Bootcamp Review | Bootcamp + Intro + Free Course Review,26287,641,124,0,2022-08-16,10,Tue,Aug,2022
151,How to use Drill Down in Power BI | Microsoft Power BI for Beginners,156742,2774,71,0,2022-08-09,10,Tue,Aug,2022
152,"Best Courses for Alternative Analyst Jobs | Marketing Analyst, Business Analyst, Financial Analyst",19623,846,72,0,2022-08-02,10,Tue,Aug,2022
153,250k Subscriber Live Stream!!,4160,157,11,0,2022-07-26,13,Tue,Jul,2022
154,How to use DAX in Power BI | Microsoft Power BI for Beginners,158777,3300,141,0,2022-07-26,10,Tue,Jul,2022
155,Tech Layoffs and Hiring Freezes | The Great Resignation | Alex The Analyst Show | Episode 23,21953,616,126,0,2022-07-19,10,Tue,Jul,2022
156,How to Create and Manage Relationships in Power BI | Microsoft Power BI for Beginners,194046,3542,88,0,2022-07-12,10,Tue,Jul,2022
157,Machine Learning Specialization on Coursera | Review,24170,770,63,0,2022-07-05,10,Tue,Jul,2022
158,Meta Marketing Analytics Professional Certificate on Coursera | Review,34405,907,102,0,2022-06-28,10,Tue,Jun,2022
159,Google's Secret Hiring Platform | Found in the Google Data Analytics Certification,45538,1648,134,0,2022-06-21,10,Tue,Jun,2022
160,How to use Power Query in Power BI | Microsoft Power BI for Beginners,273111,4476,85,0,2022-06-14,10,Tue,Jun,2022
161,Automating Crypto Website API Pull Using Python | Data Analyst Project,59143,1021,91,0,2022-06-07,10,Tue,Jun,2022
162,How to use a Public API | Using a Public API with Python,38248,1271,69,0,2022-05-31,10,Tue,May,2022
163,How to Install Power BI | Building First Visualization | Microsoft Power BI for Beginners,400540,7100,242,0,2022-05-24,10,Tue,May,2022
164,MySQL vs Postgresql vs Microsoft SQL Server Management Tools | Which Option is Best?,129041,2729,268,0,2022-05-17,10,Tue,May,2022
165,Top 3 Tips to Stop Procrastinating to be Successful,33282,1678,158,0,2022-05-10,10,Tue,May,2022
166,SQL vs NoSQL | What's the Difference?,58330,1772,66,0,2022-05-03,10,Tue,May,2022
167,Database vs Data Warehouse vs Data Lake | What is the Difference?,720333,19098,289,0,2022-04-26,10,Tue,Apr,2022
168,How I Manage My Time Working 60+ Hours Per Week | Alex The Analyst Show | Episode 22,11788,322,161,0,2022-04-20,10,Wed,Apr,2022
169,200k Livestream! | Shaving | Puppies | Giveaway,3172,133,11,0,2022-04-14,13,Thu,Apr,2022
170,Things I HATE About Being a Data Analyst,35657,1491,201,0,2022-04-12,10,Tue,Apr,2022
171,Best Website to Practice Technical Interview Questions,18850,662,55,0,2022-04-05,10,Tue,Apr,2022
172,Pros and Cons of Working Remote | Alex The Analyst Show | Episode 21,7063,275,161,0,2022-03-29,10,Tue,Mar,2022
173,Full Project in Excel | Excel Tutorials for Beginners,723186,15707,947,0,2022-03-22,10,Tue,Mar,2022
174,Top 5 Non-Technical Skills for Data Analysts,21551,810,73,0,2022-03-15,10,Tue,Mar,2022
175,Cleaning Data in Excel | Excel Tutorials for Beginners,483683,10269,294,0,2022-03-01,11,Tue,Mar,2022
176,Tableau Data Analyst Certification Review,63295,1574,127,0,2022-02-22,11,Tue,Feb,2022
177,Job Title Alternatives for Data Analysts,26184,1015,95,0,2022-02-15,11,Tue,Feb,2022
178,Best Coursera Courses for Data Analysts in 2022,115639,5670,220,0,2022-02-08,11,Tue,Feb,2022
179,Understanding Your Data Analyst Salary Offer | What To Know Before Accepting,20902,718,61,0,2022-02-01,11,Tue,Feb,2022
180,Charts in Excel | Excel Tutorials for Beginners,113306,2920,59,0,2022-01-25,11,Tue,Jan,2022
181,How I became a Data Analytics Manager | Alex The Analyst Show | Episode 20,22947,858,358,0,2022-01-18,11,Tue,Jan,2022
182,Conditional Formatting in Excel | Excel Tutorials for Beginners,157681,3473,98,0,2022-01-11,11,Tue,Jan,2022
183,150k Subscriber Livestream!!,3488,159,7,0,2022-01-10,14,Mon,Jan,2022
184,How To Become A Data Analyst In 2022,497343,22089,641,0,2022-01-04,11,Tue,Jan,2022
185,XLOOKUP in Excel | Excel Tutorials for Beginners,185654,4141,163,0,2021-12-28,11,Tue,Dec,2021
186,Formulas in Excel | Excel Tutorials for Beginners,301089,6850,369,0,2021-12-21,11,Tue,Dec,2021
187,Pivot Tables in Excel | Excel Tutorials for Beginners,592539,12290,338,0,2021-12-14,11,Tue,Dec,2021
188,Full Beginner Project in Tableau | Tableau Tutorials for Beginners,255975,5167,388,0,2021-12-07,11,Tue,Dec,2021
189,How to use Joins in Tableau | Tableau Tutorials for Beginners,117509,3268,61,0,2021-11-23,11,Tue,Nov,2021
190,Top 5 Major Red Flags in Job Descriptions,18244,958,72,0,2021-11-18,11,Thu,Nov,2021
191,Truth About My Job (Song) - As a Data Analyst,10685,885,107,0,2021-11-08,11,Mon,Nov,2021
192,How to Grow Your Analytics Career | Alteryx Webinar Oct 2021 | Tips to Break Into Analytics,11161,340,34,0,2021-10-26,10,Tue,Oct,2021
193,Choosing a Domain to Make More Money,19240,938,81,0,2021-10-19,10,Tue,Oct,2021
194,How to Create Visualizations in Tableau | Tableau Tutorials for Beginners,154913,3547,171,0,2021-10-05,11,Tue,Oct,2021
195,How to use Calculated Fields and Bins in Tableau | Tableau Tutorials for Beginners,199325,4341,85,0,2021-09-28,11,Tue,Sep,2021
196,How to Install Tableau and Create First Visualization | Tableau Tutorials for Beginners,635759,14896,368,0,2021-09-21,11,Tue,Sep,2021
197,How NOT to Become a Data Analyst (Funny?),17304,713,114,0,2021-09-07,11,Tue,Sep,2021
198,100k Subscriber Play Button Unboxing,2657,241,96,0,2021-08-31,11,Tue,Aug,2021
199,Amazon Web Scraping Using Python | Data Analyst Portfolio Project,252234,5811,603,0,2021-08-24,11,Tue,Aug,2021
200,Interviewing with PwC for a Senior Data Analyst Position,92369,2481,159,0,2021-08-17,11,Tue,Aug,2021
201,100k Livestream | Announcing Giveaway Winners | Trimming Mustache | Answering Questions,4741,191,26,0,2021-08-13,14,Fri,Aug,2021
202,I Am No Longer a Data Analyst | Turning Down PwC | New Job,143148,4417,489,0,2021-08-11,11,Wed,Aug,2021
203,When To Start Applying To Your First Data Analyst Job,79533,4282,233,0,2021-07-21,11,Wed,Jul,2021
204,Why You Need to Stop Taking Courses (From an Ex-Course Addict),130425,5633,364,0,2021-07-13,11,Tue,Jul,2021
205,How to Create a Portfolio Website for FREE,543954,12677,714,0,2021-06-29,11,Tue,Jun,2021
206,Data Analyst Portfolio Project | Correlation in Python | Project 4/4,162727,2924,483,0,2021-06-22,11,Tue,Jun,2021
207,How To Get a Data Analyst Job (with No Experience),461423,20085,599,0,2021-06-08,11,Tue,Jun,2021
208,My Wife Answers Subscribers Questions About Me | Alex The Analyst Show | Episode 19,6315,239,108,0,2021-06-03,11,Thu,Jun,2021
209,Favorite Tableau and Power BI Courses on Udemy,31495,852,86,0,2021-06-01,11,Tue,Jun,2021
210,Data Analyst Portfolio Project | Data Cleaning in SQL | Project 3/4,401683,7801,854,0,2021-05-25,11,Tue,May,2021
211,Data Analyst Portfolio Project | Tableau Visualization | Project 2/4,358175,5779,445,0,2021-05-18,11,Tue,May,2021
212,Asking My Family What I Do For a Living,3732,196,55,0,2021-05-11,11,Tue,May,2021
213,Data Analyst Portfolio Project | SQL Data Exploration | Project 1/4,1860345,32944,4062,0,2021-05-04,11,Tue,May,2021
214,Advanced SQL Tutorial | Subqueries,357352,8023,212,0,2021-04-20,11,Tue,Apr,2021
215,Data Analyst Q/A #6 | Why Am I Not a Data Scientist?,22199,825,149,0,2021-04-15,11,Thu,Apr,2021
216,Google vs IBM Data Analytics Certificates | Which is Better?,324201,11474,602,0,2021-04-13,11,Tue,Apr,2021
217,Data Analyst Reacts: How to Go From Data Analyst to Data Scientist,26149,924,84,0,2021-04-06,11,Tue,Apr,2021
218,Laptops for Data Analysts |  Specifications + Recommendations,178273,3957,305,0,2021-03-30,11,Tue,Mar,2021
219,Best Machine Learning Courses on Coursera,55780,1717,83,0,2021-03-23,11,Tue,Mar,2021
220,Will Data Analysts Be Automated? | Alex The Analyst | Episode 18,16274,476,120,0,2021-03-18,11,Thu,Mar,2021
221,Advanced SQL Tutorial | Stored Procedures + Use Cases,397548,7224,187,0,2021-03-16,11,Tue,Mar,2021
222,Google Data Analytics Professional Certificate | It's Finally Here!,361711,11098,1178,0,2021-03-12,12,Fri,Mar,2021
223,Google Data Analytics Certificate | Coming Out Soon!,51717,2368,316,0,2021-03-04,12,Thu,Mar,2021
224,Reviewing Your Data Analyst Resumes | Part 2,23008,565,78,0,2021-03-02,12,Tue,Mar,2021
225,Best Course to Learn Statistics for Data Analysis,102176,2640,90,0,2021-02-25,12,Thu,Feb,2021
226,DataQuest Review | Is it Worth it?,23864,416,45,0,2021-02-23,12,Tue,Feb,2021
227,R vs Python | Which is Better for Data Analysis?,220054,4942,401,0,2021-02-16,12,Tue,Feb,2021
228,Advanced SQL Tutorial | String Functions + Use Cases,171151,4363,149,0,2021-02-04,12,Thu,Feb,2021
229,Advanced SQL Tutorial | Temp Tables,244187,5521,141,0,2021-02-02,12,Tue,Feb,2021
230,IBM Data Analyst Certificate Study Session,5212,173,22,0,2021-01-30,15,Sat,Jan,2021
231,IBM Data Analyst Professional Certificate by Coursera | Is it Worth it?,118963,3044,302,0,2021-01-26,12,Tue,Jan,2021
232,DataCamp Review | Is it Worth it?,169709,3572,257,0,2021-01-21,12,Thu,Jan,2021
233,Best Python Course for Data Analysts,51646,1352,116,0,2021-01-19,12,Tue,Jan,2021
234,Top 5 Data Analyst Skills,30042,1291,172,0,2021-01-12,12,Tue,Jan,2021
235,Best Industries for Data Analysts in 2021 | Alex The Analyst Show | Episode 17,14932,483,147,0,2021-01-07,12,Thu,Jan,2021
236,Top 5 Data Analyst Interview Mistakes,77924,2004,72,0,2021-01-05,12,Tue,Jan,2021
237,2020 Year End Review + Upcoming Giveaway Details,1566,140,101,0,2020-12-31,12,Thu,Dec,2020
238,Data Analyst Resume | Everything You Need to Know | Alex The Analyst Show | Episode 16,41379,1191,138,0,2020-12-24,12,Thu,Dec,2020
239,Solving Medium Level SQL LeetCode Questions | Part 2/3,11099,241,32,0,2020-12-22,12,Tue,Dec,2020
240,Entry vs Mid vs Senior Level Data Analyst | Alex The Analyst Show | Episode 15,46550,1550,207,0,2020-12-17,12,Thu,Dec,2020
241,Data Engineer vs Data Analyst | Which Is Right For You?,81864,2713,145,0,2020-12-15,12,Tue,Dec,2020
242,How to Find Out Your Coworkers Salary | Alex The Analyst Show | Episode 14,2822,93,53,0,2020-12-10,12,Thu,Dec,2020
243,Advanced SQL Tutorial | CTE (Common Table Expression),327550,5332,185,0,2020-12-08,12,Tue,Dec,2020
244,"Data Analyst Salary (Expectations, Bonuses, 401K, ESPP) | Alex The Analyst Show | Episode 13",23021,739,189,0,2020-12-03,12,Thu,Dec,2020
245,Intermediate SQL Tutorial | Partition By,264343,6187,195,0,2020-12-01,12,Tue,Dec,2020
246,Data Analyst Q/A LIVE #5 | AMA,4838,131,18,0,2020-11-28,17,Sat,Nov,2020
247,Completely REALISTIC Jobs on LinkedIn | Alex The Analyst Show | Episode 12,24438,878,162,0,2020-11-25,11,Wed,Nov,2020
248,Completely Unrealistic Jobs on LinkedIn | Alex The Analyst Show | Episode 11,14390,568,206,0,2020-11-19,15,Thu,Nov,2020
249,Top 3 Tips on Using LinkedIn to Land a Job,275247,10365,225,0,2020-11-17,14,Tue,Nov,2020
250,What is No Code Analytics? | Alex The Analyst Show | Episode 10,3797,119,81,0,2020-11-12,12,Thu,Nov,2020
251,Solving LeetCode SQL Interview Questions | Part 1/3,24532,644,64,0,2020-11-10,15,Tue,Nov,2020
252,What is Analytics Consulting? With John Ariansen | Alex The Analyst Show | Episode 9,13003,377,116,0,2020-11-05,15,Thu,Nov,2020
253,Data Analyst Skills Path | What Skills You NEED to Know,76732,3599,275,0,2020-11-03,15,Tue,Nov,2020
254,Data Analyst Q&A LIVE #4,3479,105,25,0,2020-10-30,15,Fri,Oct,2020
255,Asking My Wife Your Questions About Me | Alex The Analyst Show | Episode 8,13919,558,222,0,2020-10-27,16,Tue,Oct,2020
256,Top 10 Udemy Courses for Data Analysts,161327,4682,280,0,2020-10-22,15,Thu,Oct,2020
257,Data Analyst Certifications | Are They Worth It? | Alex The Analyst Show | Episode 7,178706,6216,988,0,2020-10-20,14,Tue,Oct,2020
258,Working at a Startup vs Fortune 500 Company | Alex The Analyst Show | Episode 6,4676,172,73,0,2020-10-15,15,Thu,Oct,2020
259,Top 10 Coursera Courses for Data Analysts,107062,4687,285,0,2020-10-13,14,Tue,Oct,2020
260,Imposter Syndrome in Tech | Alex The Analyst Show | Episode 5,7259,362,176,0,2020-10-08,14,Thu,Oct,2020
261,Data Analyst Expectations vs Reality,75649,2800,188,0,2020-10-06,14,Tue,Oct,2020
262,Covid and the Data Analyst Job Market | Alex The Analyst Show | Episode 4,7216,252,161,0,2020-10-01,13,Thu,Oct,2020
263,Self Taught vs Boot Camp vs Degree | Alex The Analyst Show | Episode 3,45155,1509,717,0,2020-09-24,15,Thu,Sep,2020
264,Top 5 Reasons You'll Be a Good Data Analyst,14598,610,82,0,2020-09-22,13,Tue,Sep,2020
